  0.16000E+02  0.40000E+01  0.35419E+01  0.29609E+01
  0.22000E+02  0.33000E+02  0.18567E+01  0.45913E+01
  0.36000E+02  0.51000E+02  0.56620E+01  0.13703E+02
  0.16000E+02  0.62000E+02 -0.12370E+01  0.19197E+01
  0.34000E+02  0.60000E+02  0.20189E+00  0.93755E+01
  0.36000E+02  0.81000E+02 -0.73703E+01  0.10682E+02
  0.66000E+02  0.19000E+02  0.33598E+01 -0.65795E+01
  0.79000E+02  0.34000E+02  0.18806E+01 -0.43352E+01
  0.68000E+02  0.61000E+02 -0.58238E+00 -0.75283E+01
  0.83000E+02  0.57000E+02 -0.15878E+00 -0.22543E+01
  0.56000E+02  0.83000E+02 -0.40347E+01 -0.20655E+02
  0.65000E+02  0.86000E+02 -0.70543E+01 -0.88375E+01
