0.000000000000000000e+00 3.000000000000000000e+00
5.000000000000000000e+03 3.000000000000000000e+00
1.000000000000000000e+04 9.881914170476771009e-01
2.000000000000000000e+04 8.350376186623954533e-01
3.000000000000000000e+04 1.021419957860560723e+00
4.000000000000000000e+04 6.060000764122700501e-01
5.000000000000000000e+04 1.433510420050152279e+00
6.000000000000000000e+04 1.200512175412149274e+00
7.000000000000000000e+04 2.166217937198170240e+00
8.000000000000000000e+04 2.782534619270653931e+00
9.000000000000000000e+04 2.269448892072946311e+00
9.500000000000000000e+04 3.000000000000000000e+00
1.000000000000000000e+05 3.000000000000000000e+00
