0 40000 0 
1000 40000 0 
2000 40000 0 
3000 40000 0 
4000 40000 0 
5000 40000 0 
6000 40000 0 
7000 40000 0 
8000 40000 0 
9000 40000 0 
10000 40000 0 
11000 40000 0 
12000 40000 0 
13000 40000 0 
14000 40000 0 
15000 40000 0 
16000 40000 0 
17000 40000 0 
18000 40000 0 
19000 40000 0 
20000 40000 0 
21000 40000 0 
22000 40000 0 
23000 40000 0 
24000 40000 0 
25000 40000 0 
26000 40000 0 
27000 40000 0 
28000 40000 0 
29000 40000 0 
30000 40000 0 
31000 40000 0 
32000 40000 0 
33000 40000 0 
34000 40000 0 
35000 40000 0 
36000 40000 0 
37000 40000 0 
38000 40000 0 
39000 40000 0 
40000 40000 0 
41000 40000 0 
42000 40000 0 
43000 40000 0 
44000 40000 0 
45000 40000 0 
46000 40000 0 
47000 40000 0 
48000 40000 0 
49000 40000 0 
50000 40000 0 
51000 40000 0 
52000 40000 0 
53000 40000 0 
54000 40000 0 
55000 40000 0 
56000 40000 0 
57000 40000 0 
58000 40000 0 
59000 40000 0 
60000 40000 0 
61000 40000 0 
62000 40000 0 
63000 40000 0 
64000 40000 0 
65000 40000 0 
66000 40000 0 
67000 40000 0 
68000 40000 0 
69000 40000 0 
70000 40000 0 
71000 40000 0 
72000 40000 0 
73000 40000 0 
74000 40000 0 
75000 40000 0 
76000 40000 0 
77000 40000 0 
78000 40000 0 
79000 40000 0 
80000 40000 0 
81000 40000 0 
82000 40000 0 
83000 40000 0 
84000 40000 0 
85000 40000 0 
86000 40000 0 
87000 40000 0 
88000 40000 0 
89000 40000 0 
90000 40000 0 
91000 40000 0 
92000 40000 0 
93000 40000 0 
94000 40000 0 
95000 40000 0 
96000 40000 0 
97000 40000 0 
98000 40000 0 
99000 40000 0 
100000 40000 0 
